     ksi;1.initialDensity;2.initialDensity;3.initialDensity;4.initialDensity;5.initialDensity;6.initialDensity;7.initialDensity;8.initialDensity;     tau;1.inputFlow;1.bunkerOutputFlow; 1.speed;2.inputFlow; 2.speed;3.inputFlow; 3.speed;4.inputFlow; 4.speed;5.inputFlow; 5.speed;6.inputFlow; 6.speed;6.connections.7;6.connections.8;7.inputFlow; 7.speed;8.inputFlow; 8.speed
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.00000;    0.28452;           0.28349; 0.28349;    0.00000; 0.89563;           ; 0.75000;    0.29167; 0.49612;    0.09763; 1.43302;           ; 1.12500;        0.40000;        0.60000;           ; 0.70875;           ; 1.97040
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.01000;    0.28076;           0.27967; 0.27967;    0.00041; 0.88529;           ; 0.78529;    0.25511; 0.47169;    0.13740; 1.38858;           ; 1.23040;        0.40000;        0.60000;           ; 0.65361;           ; 1.86621
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.02000;    0.27689;           0.27607; 0.27607;    0.00164; 0.87392;           ; 0.82027;    0.21913; 0.45362;    0.18200; 1.33457;           ; 1.33207;        0.40000;        0.60000;           ; 0.62719;           ; 1.73116
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.03000;    0.27290;           0.27269; 0.27269;    0.00369; 0.86156;           ; 0.85462;    0.18430; 0.44220;    0.23033; 1.27233;           ; 1.42640;        0.40000;        0.60000;           ; 0.63078;           ; 1.57372
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.04000;    0.26882;           0.26953; 0.26953;    0.00655; 0.84827;           ; 0.88805;    0.15115; 0.43760;    0.28119; 1.20338;           ; 1.51006;        0.40000;        0.60000;           ; 0.66419;           ; 1.40380
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.05000;    0.26463;           0.26660; 0.26660;    0.01020; 0.83410;           ; 0.92025;    0.12023; 0.43989;    0.33333; 1.12942;           ; 1.58007;        0.40000;        0.60000;           ; 0.72582;           ; 1.23207
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.06000;    0.26035;           0.26391; 0.26391;    0.01463; 0.81911;           ; 0.95094;    0.09201; 0.44906;    0.38548; 1.05227;           ; 1.63397;        0.40000;        0.60000;           ; 0.81269;           ; 1.06933
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.07000;    0.25597;           0.26144; 0.26144;    0.01983; 0.80335;           ; 0.97984;    0.06693; 0.46493;    0.43634; 0.97384;           ; 1.66983;        0.40000;        0.60000;           ; 0.92063;           ; 0.92578
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.08000;    0.25151;           0.25921; 0.25921;    0.02577; 0.78688;           ; 1.00671;    0.04540; 0.48728;    0.48466; 0.89605;           ; 1.68639;        0.40000;        0.60000;           ; 1.04443;           ; 0.81047
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.09000;    0.24696;           0.25722; 0.25722;    0.03243; 0.76978;           ; 1.03129;    0.02776; 0.51574;    0.52926; 0.82083;           ; 1.68306;        0.40000;        0.60000;           ; 1.17814;           ; 0.73062
