     ksi;1.initialDensity;2.initialDensity;3.initialDensity;4.initialDensity;5.initialDensity;6.initialDensity;7.initialDensity;8.initialDensity;     tau;1.inputFlow;1.bunkerOutputFlow; 1.speed;2.inputFlow; 2.speed; 3.speed;4.inputFlow; 4.speed;5.inputFlow; 5.speed; 6.speed;6.connections.7;6.connections.8; 7.speed; 8.speed
 0.29000;         0.33202;         0.15652;         0.01756;         0.43218;         0.60301;         0.11829;         0.15107;         0.84532; 0.58000;    0.31012;           0.56723; 0.56723;    0.39090; 0.46312; 1.02336;    0.04540; 0.48728;    0.03633; 1.48908; 0.56361;        0.40000;        0.60000; 1.84023; 0.81047
 0.30000;         0.33128;         0.14395;         0.02725;         0.46310;         0.56904;         0.07162;         0.22750;         0.89423; 0.60000;    0.31517;           0.55198; 0.55198;    0.37688; 0.49789; 0.97042;    0.01428; 0.54986;    0.09763; 1.43302; 0.59003;        0.40000;        0.60000; 1.87158; 0.69127
 0.31000;         0.33038;         0.13164;         0.03892;         0.49133;         0.52926;         0.03569;         0.31305;         0.91576; 0.62000;    0.31963;           0.53652; 0.53652;    0.36020; 0.53468; 0.90967;    0.00058; 0.63288;    0.18200; 1.33457; 0.69159;        0.40000;        0.60000; 1.78462; 0.74121
 0.32000;         0.32932;         0.11963;         0.05246;         0.51640;         0.48466;         0.01178;         0.40358;         0.90855; 0.64000;    0.32348;           0.52092; 0.52092;    0.34113; 0.57288; 0.84326;    0.00517; 0.73110;    0.28119; 1.20338; 0.85401;        0.40000;        0.60000; 1.59589; 0.94795
 0.33000;         0.32810;         0.10797;         0.06776;         0.53793;         0.43634;         0.00074;         0.49474;         0.87305; 0.66000;    0.32672;           0.50524; 0.50524;    0.31996; 0.61191; 0.77355;    0.02776; 0.83837;    0.38548; 1.05227; 1.05450;        0.40000;        0.60000; 1.34133; 1.26033
 0.34000;         0.32672;         0.09670;         0.08467;         0.55557;         0.38548;         0.00296;         0.58214;         0.81148; 0.68000;    0.32932;           0.48953; 0.48953;    0.29704; 0.65115; 0.70300;    0.06693; 0.94794;    0.48466; 0.89605; 1.26489;        0.40000;        0.60000; 1.06938; 1.60108
 0.35000;         0.32518;         0.08588;         0.10305;         0.56906;         0.33333;         0.01835;         0.66158;         0.72773; 0.70000;    0.33128;           0.47387; 0.47387;    0.27271; 0.68997; 0.63412;    0.12023; 1.05293;    0.56904; 0.75001; 1.45563;        0.40000;        0.60000; 0.83181; 1.88590
 0.36000;         0.32348;         0.07554;         0.12274;         0.57817;         0.28119;         0.04638;         0.72921;         0.62706; 0.72000;    0.33259;           0.45831; 0.45831;    0.24737; 0.72777; 0.56934;    0.18430; 1.14674;    0.63033; 0.62843; 1.59993;        0.40000;        0.60000; 0.67385; 2.04433
 0.37000;         0.32163;         0.06572;         0.14356;         0.58276;         0.23033;         0.08606;         0.78179;         0.51578; 0.74000;    0.33325;           0.44291; 0.44291;    0.22141; 0.76395; 0.51097;    0.25511; 1.22347;    0.66256; 0.54323; 1.67754;        0.40000;        0.60000; 0.62555; 2.03718
 0.38000;         0.31963;         0.05646;         0.16532;         0.58276;         0.18200;         0.13597;         0.81679;         0.40089; 0.76000;    0.33325;           0.42774; 0.42774;    0.19525; 0.79793; 0.46106;    0.32822; 1.27831;    0.66256; 0.50274; 1.67754;        0.40000;        0.60000; 0.69611; 1.86621
 0.39000;         0.31747;         0.04781;         0.18783;         0.57817;         0.13740;         0.19434;         0.83251;         0.28961; 0.78000;    0.33259;           0.41286; 0.41286;    0.16930; 0.82919; 0.42138;    0.39904; 1.30780;    0.63033; 0.51092; 1.59993;        0.40000;        0.60000; 0.87210; 1.57372
 0.40000;         0.31517;         0.03979;         0.21089;         0.56906;         0.09763;         0.25912;         0.82820;         0.18893; 0.80000;    0.33128;           0.39832; 0.39832;    0.14395; 0.85723; 0.39335;    0.46310; 1.31011;    0.56904; 0.56698; 1.45563;        0.40000;        0.60000; 1.12003; 1.23207
 0.41000;         0.31272;         0.03243;         0.23430;         0.55557;         0.06366;         0.32800;         0.80407;         0.10518; 0.82000;    0.32932;           0.38418; 0.38418;    0.11963; 0.88161; 0.37796;    0.51640; 1.28507;    0.48466; 0.66543; 1.26489;        0.40000;        0.60000; 1.39269; 0.92578
 0.42000;         0.31012;         0.02577;         0.25785;         0.53793;         0.03633;         0.39855;         0.76128;         0.04362; 0.84000;    0.32672;           0.37049; 0.37049;    0.09670; 0.90194; 0.37574;    0.55557; 1.23426;    0.38548; 0.79662; 1.05450;        0.40000;        0.60000; 1.63820; 0.73062
 0.43000;         0.30739;         0.01983;         0.28133;         0.51640;         0.01631;         0.46826;         0.70189;         0.00812; 0.86000;    0.32348;           0.35732; 0.35732;    0.07554; 0.91790; 0.38678;    0.57817; 1.16089;    0.28119; 0.94773; 0.85401;        0.40000;        0.60000; 1.80981; 0.69487
 0.44000;         0.30451;         0.01463;         0.30454;         0.49133;         0.00410;         0.53467;         0.62877;         0.00090; 0.88000;    0.31963;           0.34471; 0.34471;    0.05646; 0.92924; 0.41069;    0.58276; 1.06954;    0.18200; 1.10395; 0.69159;        0.40000;        0.60000; 1.87486; 0.82738
 0.45000;         0.30150;         0.01020;         0.32725;         0.46310;         0.00000;         0.59542;         0.54542;         0.02243; 0.90000;    0.31517;           0.33272; 0.33272;    0.03979; 0.93579; 0.44662;    0.56906; 0.96598;    0.09763; 1.24999; 0.59003;        0.40000;        0.60000; 1.82098; 1.09536
 0.46000;         0.29836;         0.00655;         0.34929;         0.43218;         0.00410;         0.64836;         0.45588;         0.07135; 0.92000;    0.31012;           0.32138; 0.32138;    0.02577; 0.93743; 0.49329;    0.53793; 0.85670;    0.03633; 1.37157; 0.56361;        0.40000;        0.60000; 1.65841; 1.43251
 0.47000;         0.29509;         0.00369;         0.37044;         0.39904;         0.01631;         0.69162;         0.36444;         0.14458; 0.94000;    0.30451;           0.31075; 0.31075;    0.01463; 0.93415; 0.54906;    0.49133; 0.74857;    0.00410; 1.45677; 0.61603;        0.40000;        0.60000; 1.41810; 1.75544
 0.48000;         0.29169;         0.00164;         0.39052;         0.36420;         0.03633;         0.72367;         0.27553;         0.23753; 0.96000;    0.29836;           0.30087; 0.30087;    0.00655; 0.92599; 0.61195;    0.43218; 0.64838;    0.00410; 1.49726; 0.73994;        0.40000;        0.60000; 1.14580; 1.98426
 0.49000;         0.28816;         0.00041;         0.40936;         0.32822;         0.06366;         0.74336;         0.19341;         0.34435; 0.98000;    0.29169;           0.29177; 0.29177;    0.00164; 0.91308; 0.67973;    0.36420; 0.56243;    0.03633; 1.48908; 0.91793;        0.40000;        0.60000; 0.89333; 2.06235
 0.50000;         0.28452;                ;         0.42678;         0.29167;         0.09763;         0.75000;         0.12204;         0.45833; 1.00000;    0.28452;           0.28349; 0.28349;    0.00000; 0.89563; 0.75000;    0.29167; 0.49612;    0.09763; 1.43302; 1.12500;        0.40000;        0.60000; 0.70875; 1.97040
 0.51000;         0.28076;                ;         0.44263;         0.25511;         0.13740;         0.74336;         0.06486;         0.57232; 1.02000;    0.27689;           0.27607; 0.27607;    0.00164; 0.87392; 0.82027;    0.21913; 0.45362;    0.18200; 1.33457; 1.33207;        0.40000;        0.60000; 0.62719; 1.73116
 0.52000;         0.27689;                ;         0.45677;         0.21913;         0.18200;         0.72367;         0.02463;         0.67914; 1.04000;    0.26882;           0.26953; 0.26953;    0.00655; 0.84827; 0.88805;    0.15115; 0.43760;    0.28119; 1.20338; 1.51006;        0.40000;        0.60000; 0.66419; 1.40380
 0.53000;         0.27290;                ;         0.46908;         0.18430;         0.23033;         0.69162;         0.00329;         0.77208; 1.06000;    0.26035;           0.26391; 0.26391;    0.01463; 0.81911; 0.95094;    0.09201; 0.44906;    0.38548; 1.05227; 1.63397;        0.40000;        0.60000; 0.81269; 1.06933
 0.54000;         0.26882;                ;         0.47944;         0.15115;         0.28119;         0.64836;         0.00185;         0.84532; 1.08000;    0.25151;           0.25921; 0.25921;    0.02577; 0.78688; 1.00671;    0.04540; 0.48728;    0.48466; 0.89605; 1.68639;        0.40000;        0.60000; 1.04443; 0.81047
 0.55000;         0.26463;                ;         0.48776;         0.12023;         0.33333;         0.59542;         0.02039;         0.89423; 1.10000;    0.24233;           0.25546; 0.25546;    0.03979; 0.75211; 1.05338;    0.01428; 0.54986;    0.56904; 0.75001; 1.65997;        0.40000;        0.60000; 1.31530; 0.69127
 0.56000;         0.26035;                ;         0.49398;         0.09201;         0.38548;         0.53467;         0.05802;         0.91576; 1.12000;    0.23286;           0.25268; 0.25268;    0.05646; 0.71532; 1.08931;    0.00058; 0.63288;    0.63033; 0.62843; 1.55841;        0.40000;        0.60000; 1.57374; 0.74121
 0.57000;         0.25597;                ;         0.49803;         0.06693;         0.43634;         0.46826;         0.11293;         0.90855; 1.14000;    0.22312;           0.25088; 0.25088;    0.07554; 0.67712; 1.11322;    0.00517; 0.73110;    0.66256; 0.54323; 1.39599;        0.40000;        0.60000; 1.77056; 0.94795
 0.58000;         0.25151;                ;         0.49988;         0.04540;         0.48466;         0.39855;         0.18246;         0.87305; 1.16000;    0.21317;           0.25005; 0.25005;    0.09670; 0.63809; 1.12426;    0.02776; 0.83837;    0.66256; 0.50274; 1.19550;        0.40000;        0.60000; 1.86829; 1.26033
 0.59000;         0.24696;                ;         0.49951;         0.02776;         0.52926;         0.32800;         0.26328;         0.81148; 1.18000;    0.20302;           0.25022; 0.25022;    0.11963; 0.59885; 1.12204;    0.06693; 0.94794;    0.63033; 0.51092; 0.98511;        0.40000;        0.60000; 1.84833; 1.60108
 0.60000;         0.24233;                ;         0.49692;         0.01428;         0.56904;         0.25912;         0.35149;                ; 1.20000;    0.19274;           0.25137; 0.25137;    0.14395; 0.56003; 1.10665;    0.12023; 1.05293;    0.56904; 0.56698; 0.79437;        0.40000;        0.60000; 1.71448; 1.88590
 0.61000;         0.23763;                ;         0.49215;         0.00517;         0.60301;         0.19434;         0.44283;                ; 1.22000;    0.18235;           0.25350; 0.25350;    0.16930; 0.52223; 1.07862;    0.18430; 1.14674;    0.48466; 0.66543; 0.65007;        0.40000;        0.60000; 1.49222; 2.04433
 0.62000;         0.23286;                ;         0.48522;         0.00058;         0.63033;         0.13597;         0.53291;                ; 1.24000;    0.17190;           0.25661; 0.25661;    0.19525; 0.48605; 1.03894;    0.25511; 1.22347;    0.38548; 0.79662; 0.57246;        0.40000;        0.60000; 1.22385; 2.03718
 0.63000;         0.22802;                ;         0.47621;         0.00058;         0.65035;         0.08606;         0.61740;                ; 1.26000;    0.16143;           0.26067; 0.26067;    0.22141; 0.45207; 0.98903;    0.32822; 1.27831;    0.28119; 0.94773; 0.57246;        0.40000;        0.60000; 0.96046; 1.86621
 0.64000;         0.22312;                ;         0.46519;         0.00517;         0.66256;         0.04638;         0.69221;                ; 1.28000;    0.15098;           0.26568; 0.26568;    0.24737; 0.42081; 0.93066;    0.39904; 1.30780;    0.18200; 1.10395; 0.65007;        0.40000;        0.60000; 0.75218; 1.57372
 0.65000;         0.21817;                ;         0.45225;         0.01428;         0.66667;         0.01835;         0.75376;                ; 1.30000;    0.14059;           0.27161; 0.27161;    0.27271; 0.39277; 0.86588;    0.46310; 1.31011;    0.09763; 1.24999; 0.79437;        0.40000;        0.60000; 0.63866; 1.23207
 0.66000;         0.21317;                ;         0.43753;         0.02776;         0.66256;         0.00296;         0.79906;                ; 1.32000;    0.13031;           0.27845; 0.27845;    0.29704; 0.36839; 0.79700;    0.51640; 1.28507;    0.03633; 1.37157; 0.98511;        0.40000;        0.60000; 0.64151; 0.92578
 0.67000;         0.20811;                ;         0.42114;         0.04540;         0.65035;         0.00074;         0.82595;                ; 1.34000;    0.12017;           0.28616; 0.28616;    0.31996; 0.34806; 0.72645;    0.55557; 1.23426;    0.00410; 1.45677; 1.19550;        0.40000;        0.60000; 0.76018; 0.73062
